"rank","headword","pos","english","sample","range","rawFreq","oral","fiction","nonFiction"
48,"sobre","prep","on top of, over, about","dejó el papel sobre la mesa y se fue",100,"35038","NA","NA","NA"
2406,"ola","nf","wave, billow","el sonido era un poco como las olas del mar",85,"539","NA","NA","NA"
1362,"campaña","nf","campaign","fueron expresadas en una nueva campaña de reforma ideológica",93,"2230","NA","NA","NA"
1207,"destruir","v","to destroy, ruin","el equipo militar piensa destruir a este enemigo",100,"1174","NA","NA","NA"
2616,"príncipe","nm","prince","el heredero es su hijo mayor, Carlos, príncipe de Gales",81,"550","NA","NA","NA"
2183,"repente","adv","de + repente: suddenly","de repente nos tiramos al agua",80,"999","high","NA","low"
2307,"ruso","adj","Russian","el pueblo ruso tiene que seguir haciendo cola para comprar pan",79,"1346","NA","NA","NA"
2336,"paciencia","nf","patience","necesitamos tener paciencia y esperar",83,"611","NA","NA","NA"
1800,"alternativa","nf","alternative","a todos no les queda otra alternativa que buscar la solución política",91,"823","NA","NA","NA"
1746,"declaración","nf","declaration, statement","lee una declaración oficial para descartar dudas",91,"1334","NA","NA","NA"
2526,"propietario","nm","owner","el propietario de la joyería ha sufrido un robo",82,"781","NA","NA","NA"
2115,"trece","num","thirteen","once, doce, trece...¡Este reloj está loco de remate!",89,"484","high","NA","NA"
1679,"obstante","adj","no + obstante: nevertheless","no obstante, parece haber indicios de una reducción reciente",89,"1618","NA","NA","NA"
632,"opinión","nf","opinion, view","¿cuál es su opinión sobre el gobierno español?",100,"2891","NA","NA","NA"
5,"a","prep","to, at","se fue a la cama",100,"529899","NA","NA","NA"
2149,"candidato","nm","candidate","Tony Blair venció a John Major, candidato del Partido Conservador",87,"2201","NA","NA","NA"
1049,"lista","nf","list, roster, roll","me dio una lista de personas a quienes yo podía enviar mi libro",97,"1141","NA","NA","NA"
1632,"revisar","v","to check, revise, inspect","el médico revisó el vendaje de las manos",97,"632","NA","NA","NA"
1647,"fila","nf","line, row, file","extendió de un extremo a otro una inmensa fila de peregrinos",93,"849","NA","NA","NA"
1792,"respirar","v","to breathe","un pulmón inmenso respira en la noche",91,"899","NA","NA","NA"
1465,"seguido","adj","in a row, successive","no pude dormir durante dos días seguidos",98,"551","NA","NA","NA"
931,"perdido","adj","lost","no todo estaba perdido y era posible conseguir un empleo",100,"1639","NA","NA","NA"
1377,"loco","adj","crazy, insane","estos hijos de diablo van a volverme loco",89,"2060","NA","NA","low"
1797,"respectivo","adj","respective","debe cada uno hacer en su respectivo trabajo",95,"665","NA","NA","NA"
606,"origen","nm","origin, cause","las mesas redondas de origen griego surgieron en el período helenístico",100,"2835","NA","NA","NA"
1956,"regular","adj","regular","de forma regular – es decir, una estructura métrica",91,"661","NA","NA","NA"
2195,"edición","nf","edition, publication","un libro que en su primera edición sólo tenía unas cincuenta páginas",84,"629","NA","NA","NA"
